Time ,epoch,stage,train loss,accuracy
48:32.3,2,0.0208,0.444795847,87.5
48:33.6,2,0.0224,0.167096674,95
48:34.9,2,0.024,0.162467971,97.5
48:36.2,2,0.0256,0.144536123,92.5
48:37.5,2,0.0272,0.149514958,95
48:38.8,2,0.0288,0.34235248,87.5
48:40.1,2,0.0304,0.106145598,97.5
48:41.4,2,0.032,0.153182834,95
48:42.7,2,0.0336,0.131653279,95
48:44.0,2,0.0352,0.109261334,95
48:45.3,2,0.0368,0.265871614,90
48:46.6,2,0.0384,0.233824015,90
48:47.9,2,0.04,0.056095015,100
48:49.2,2,0.0416,0.337603927,92.5
48:50.6,2,0.0432,0.150524244,97.5
48:51.9,2,0.0448,0.104112528,97.5
48:53.2,2,0.0464,0.233428568,92.5
48:54.5,2,0.048,0.358807653,92.5
48:55.8,2,0.0496,0.170255587,92.5
48:57.1,2,0.0512,0.165502757,95
48:58.4,2,0.0528,0.168981165,97.5
48:59.7,2,0.0544,0.330411732,87.5
49:01.0,2,0.056,0.289709747,92.5
49:02.3,2,0.0576,0.369026005,90
49:03.6,2,0.0592,0.250154436,95
49:04.9,2,0.0608,0.37139529,85
49:06.2,2,0.0624,0.388734162,85
49:07.5,2,0.064,0.161596999,95
49:08.8,2,0.0656,0.242968231,90
49:10.1,2,0.0672,0.268380374,92.5
49:11.4,2,0.0688,0.083032809,97.5
49:12.7,2,0.0704,0.183557183,90
49:14.0,2,0.072,0.240520045,90
49:15.3,2,0.0736,0.177243158,95
49:16.6,2,0.0752,0.195186749,95
49:17.9,2,0.0768,0.246218994,92.5
49:19.2,2,0.0784,0.082619995,100
49:20.5,2,0.08,0.170592979,90
49:21.8,2,0.0816,0.302438498,90
49:23.1,2,0.0832,0.214331746,92.5
49:24.5,2,0.0848,0.088788435,97.5
49:25.8,2,0.0864,0.146906674,95
49:27.1,2,0.088,0.270570278,90
49:28.4,2,0.0896,0.074971989,97.5
49:29.7,2,0.0912,0.135587022,95
49:31.0,2,0.0928,0.434480429,85
49:32.3,2,0.0944,0.220541149,90
49:33.6,2,0.096,0.29149586,92.5
49:34.9,2,0.0976,0.158676997,95
49:36.2,2,0.0992,0.108268321,97.5
49:37.5,2,0.1008,0.257086068,85
49:38.8,2,0.1024,0.278736085,87.5
49:40.1,2,0.104,0.298096597,92.5
49:41.4,2,0.1056,0.087444484,100
49:42.7,2,0.1072,0.237196371,90
49:44.0,2,0.1088,0.324160635,85
49:45.3,2,0.1104,0.285670817,87.5
49:46.6,2,0.112,0.223869041,87.5
49:47.9,2,0.1136,0.191835165,92.5
49:49.2,2,0.1152,0.20793803,92.5
49:50.5,2,0.1168,0.14615491,95
49:51.8,2,0.1184,0.397197723,90
49:53.1,2,0.12,0.075102106,97.5
49:54.4,2,0.1216,0.260365337,90
49:55.7,2,0.1232,0.303892553,90
49:57.0,2,0.1248,0.114435531,95
49:58.3,2,0.1264,0.188161582,92.5
49:59.6,2,0.128,0.17194435,92.5
50:01.0,2,0.1296,0.166086465,95
50:02.3,2,0.1312,0.370383501,92.5
50:03.6,2,0.1328,0.260182887,90
50:04.9,2,0.1344,0.176117629,95
50:06.2,2,0.136,0.226374581,90
50:07.5,2,0.1376,0.256939143,90
50:08.8,2,0.1392,0.193196163,95
50:10.1,2,0.1408,0.341416895,87.5
50:11.4,2,0.1424,0.159016445,95
50:12.7,2,0.144,0.251509458,87.5
50:14.0,2,0.1456,0.187894762,95
50:15.3,2,0.1472,0.089122549,100
50:16.6,2,0.1488,0.245421603,92.5
50:17.9,2,0.1504,0.184491754,92.5
50:19.2,2,0.152,0.34799546,85
50:20.5,2,0.1536,0.225005984,92.5
50:21.8,2,0.1552,0.099505708,95
50:23.1,2,0.1568,0.365872353,85
50:24.4,2,0.1584,0.110138401,97.5
50:25.7,2,0.16,0.323538125,90
50:27.0,2,0.1616,0.090212792,95
50:28.3,2,0.1632,0.196933776,92.5
50:29.6,2,0.1648,0.310921401,85
50:30.9,2,0.1664,0.074573703,97.5
50:32.2,2,0.168,0.224319488,92.5
50:33.5,2,0.1696,0.108876958,97.5
50:34.9,2,0.1712,0.228035882,90
50:36.2,2,0.1728,0.038917728,97.5
50:37.5,2,0.1744,0.256240964,87.5
50:38.8,2,0.176,0.258695394,87.5
50:40.1,2,0.1776,0.134433329,95
50:41.4,2,0.1792,0.331899881,87.5
50:42.7,2,0.1808,0.095986381,100
50:44.0,2,0.1824,0.217425898,87.5
50:45.3,2,0.184,0.237037733,90
50:46.6,2,0.1856,0.097811326,97.5
50:47.9,2,0.1872,0.165425494,97.5
50:49.2,2,0.1888,0.04240923,100
50:50.5,2,0.1904,0.261802495,87.5
50:51.8,2,0.192,0.266890645,92.5
50:53.1,2,0.1936,0.262725651,90
50:54.5,2,0.1952,0.082172126,97.5
50:55.8,2,0.1968,0.048588924,100
50:57.1,2,0.1984,0.163398191,97.5
50:58.4,2,0.2,0.197237492,95
50:59.7,2,0.2016,0.040142719,100
51:01.0,2,0.2032,0.378336608,85
51:02.3,2,0.2048,0.028106224,100
51:03.6,2,0.2064,0.225550324,95
51:04.9,2,0.208,0.121870376,95
51:06.2,2,0.2096,0.084409453,97.5
51:07.5,2,0.2112,0.294772029,95
51:08.8,2,0.2128,0.360076129,95
51:10.1,2,0.2144,0.10628321,95
51:11.4,2,0.216,0.242528394,95
51:12.7,2,0.2176,0.136281013,95
51:14.0,2,0.2192,0.282120317,95
51:15.3,2,0.2208,0.030238563,100
51:16.6,2,0.2224,0.217739865,90
51:17.9,2,0.224,0.199924499,90
51:19.3,2,0.2256,0.299255133,92.5
51:20.6,2,0.2272,0.098474018,97.5
51:21.9,2,0.2288,0.151413336,95
51:23.2,2,0.2304,0.29469651,90
51:24.5,2,0.232,0.036220811,100
51:25.8,2,0.2336,0.242128536,95
51:27.1,2,0.2352,0.301462412,90
51:28.4,2,0.2368,0.198967606,92.5
51:29.7,2,0.2384,0.160612881,92.5
51:31.0,2,0.24,0.188473865,97.5
51:32.3,2,0.2416,0.494091213,80
51:33.6,2,0.2432,0.159473225,95
51:34.9,2,0.2448,0.09787032,97.5
51:36.2,2,0.2464,0.219507217,90
51:37.5,2,0.248,0.121429898,97.5
51:38.8,2,0.2496,0.169527054,97.5
51:40.1,2,0.2512,0.176183686,95
51:41.4,2,0.2528,0.093734257,95
51:42.7,2,0.2544,0.201960132,92.5
51:44.0,2,0.256,0.200450614,95
51:45.3,2,0.2576,0.151239783,92.5
51:46.7,2,0.2592,0.241145462,92.5
51:48.0,2,0.2608,0.320704401,87.5
51:49.3,2,0.2624,0.385275513,90
51:50.6,2,0.264,0.170464262,95
51:51.9,2,0.2656,0.240162298,92.5
51:53.2,2,0.2672,0.08539582,97.5
51:54.5,2,0.2688,0.093904197,97.5
51:55.8,2,0.2704,0.16817677,95
51:57.1,2,0.272,0.191215783,92.5
51:58.4,2,0.2736,0.180819392,90
51:59.7,2,0.2752,0.252565652,92.5
52:01.0,2,0.2768,0.198661074,92.5
52:02.3,2,0.2784,0.222571656,92.5
52:03.6,2,0.28,0.336604029,87.5
52:04.9,2,0.2816,0.067982577,97.5
52:06.2,2,0.2832,0.10620971,95
52:07.5,2,0.2848,0.314562112,90
52:08.8,2,0.2864,0.147371501,95
52:10.1,2,0.288,0.226643845,95
52:11.4,2,0.2896,0.230108663,97.5
52:12.7,2,0.2912,0.283426344,87.5
52:14.0,2,0.2928,0.096985318,95
52:15.3,2,0.2944,0.251398951,87.5
52:16.6,2,0.296,0.219290301,95
52:17.9,2,0.2976,0.045940798,100
52:19.3,2,0.2992,0.353159517,82.5
52:20.6,2,0.3008,0.157783061,92.5
52:21.9,2,0.3024,0.300050974,90
52:23.2,2,0.304,0.118370913,92.5
52:24.5,2,0.3056,0.214355066,90
52:25.8,2,0.3072,0.471909374,82.5
52:27.1,2,0.3088,0.257764965,87.5
52:28.4,2,0.3104,0.275240868,92.5
52:29.7,2,0.312,0.415448725,90
52:31.0,2,0.3136,0.036452346,100
52:32.3,2,0.3152,0.191979557,92.5
52:33.6,2,0.3168,0.130507499,95
52:34.9,2,0.3184,0.180571765,97.5
52:36.2,2,0.32,0.131324083,97.5
52:37.5,2,0.3216,0.404058635,87.5
52:38.8,2,0.3232,0.087582365,100
52:40.1,2,0.3248,0.188051328,95
52:41.4,2,0.3264,0.123343483,95
52:42.7,2,0.328,0.467192978,85
52:44.0,2,0.3296,0.171197593,95
52:45.3,2,0.3312,0.126921445,95
52:46.6,2,0.3328,0.226049155,92.5
52:47.9,2,0.3344,0.107877567,95
52:49.2,2,0.336,0.208371922,90
52:50.5,2,0.3376,0.162705392,92.5
52:51.9,2,0.3392,0.228925511,92.5
52:53.2,2,0.3408,0.268192351,92.5
52:54.5,2,0.3424,0.058268465,97.5
52:55.8,2,0.344,0.061495364,97.5
52:57.1,2,0.3456,0.239696473,90
52:58.4,2,0.3472,0.284059823,92.5
52:59.7,2,0.3488,0.19868806,95
53:01.0,2,0.3504,0.112913527,97.5
53:02.3,2,0.352,0.339983284,87.5
53:03.6,2,0.3536,0.156774104,95
53:04.9,2,0.3552,0.097559348,95
53:06.2,2,0.3568,0.254762709,90
53:07.5,2,0.3584,0.402590424,90
53:08.8,2,0.36,0.128443897,92.5
53:10.1,2,0.3616,0.364679992,87.5
53:11.4,2,0.3632,0.109232262,97.5
53:12.7,2,0.3648,0.18501623,97.5
53:14.0,2,0.3664,0.305142552,90
53:15.3,2,0.368,0.14084588,92.5
53:16.6,2,0.3696,0.187115103,92.5
53:17.9,2,0.3712,0.367106378,90
53:19.2,2,0.3728,0.213423014,95
53:20.5,2,0.3744,0.177704006,92.5
53:21.8,2,0.376,0.241079122,92.5
53:23.1,2,0.3776,0.510916114,87.5
53:24.5,2,0.3792,0.180487186,95
53:25.8,2,0.3808,0.17887263,92.5
53:27.1,2,0.3824,0.468303531,87.5
53:28.4,2,0.384,0.289528757,90
53:29.7,2,0.3856,0.097974345,97.5
53:31.0,2,0.3872,0.116457604,97.5
53:32.3,2,0.3888,0.10292723,95
53:33.6,2,0.3904,0.229541376,95
53:34.9,2,0.392,0.174963742,92.5
53:36.2,2,0.3936,0.188012689,95
53:37.5,2,0.3952,0.103100203,95
53:38.8,2,0.3968,0.178594351,92.5
53:40.1,2,0.3984,0.153444409,95
53:41.4,2,0.4,0.153982028,97.5
53:42.7,2,0.4016,0.627696037,90
53:44.0,2,0.4032,0.220071197,92.5
53:45.3,2,0.4048,0.343496829,85
53:46.6,2,0.4064,0.333613873,85
53:47.9,2,0.408,0.2536847,90
53:49.2,2,0.4096,0.100810543,97.5
53:50.5,2,0.4112,0.355674088,90
53:51.9,2,0.4128,0.144077644,95
53:53.2,2,0.4144,0.332716376,92.5
53:54.5,2,0.416,0.30902487,85
53:55.8,2,0.4176,0.157276466,97.5
53:57.1,2,0.4192,0.119672917,97.5
53:58.4,2,0.4208,0.292246103,92.5
53:59.7,2,0.4224,0.393200397,85
54:01.0,2,0.424,0.223513395,92.5
54:02.3,2,0.4256,0.085001133,95
54:03.6,2,0.4272,0.362125784,90
54:04.9,2,0.4288,0.143254682,95
54:06.2,2,0.4304,0.248595327,92.5
54:07.5,2,0.432,0.337508291,87.5
54:08.8,2,0.4336,0.150714949,92.5
54:10.1,2,0.4352,0.147486225,90
54:11.4,2,0.4368,0.165631533,92.5
54:12.7,2,0.4384,0.201787114,87.5
54:14.0,2,0.44,0.208323956,92.5
54:15.4,2,0.4416,0.227590591,92.5
54:16.7,2,0.4432,0.090480037,97.5
54:18.0,2,0.4448,0.28699699,90
54:19.3,2,0.4464,0.427441597,87.5
54:20.6,2,0.448,0.185274214,92.5
54:21.9,2,0.4496,0.299470007,87.5
54:23.2,2,0.4512,0.214456752,90
54:24.5,2,0.4528,0.103139557,97.5
54:25.8,2,0.4544,0.16025041,95
54:27.1,2,0.456,0.172323868,95
54:28.4,2,0.4576,0.167764708,95
54:29.7,2,0.4592,0.321832001,87.5
54:31.0,2,0.4608,0.313561291,90
54:32.3,2,0.4624,0.217697501,90
54:33.6,2,0.464,0.039035618,100
54:34.9,2,0.4656,0.179671437,92.5
54:36.2,2,0.4672,0.169182301,95
54:37.5,2,0.4688,0.354189336,85
54:38.8,2,0.4704,0.046439163,100
54:40.1,2,0.472,0.152119517,97.5
54:41.4,2,0.4736,0.11751996,97.5
54:42.7,2,0.4752,0.200843647,90
54:44.0,2,0.4768,0.225256532,92.5
54:45.3,2,0.4784,0.257558674,90
54:46.7,2,0.48,0.173256487,92.5
54:48.0,2,0.4816,0.170864284,95
54:49.3,2,0.4832,0.221390769,92.5
54:50.6,2,0.4848,0.28174457,87.5
54:51.9,2,0.4864,0.040273808,100
54:53.2,2,0.488,0.065466732,100
54:54.5,2,0.4896,0.077634685,97.5
54:55.8,2,0.4912,0.052877974,100
54:57.1,2,0.4928,0.118186131,92.5
54:58.4,2,0.4944,0.276778847,90
54:59.7,2,0.496,0.411446571,85
55:01.0,2,0.4976,0.203162163,92.5
55:02.3,2,0.4992,0.220696121,90
55:03.6,2,0.5008,0.123536073,97.5
55:04.9,2,0.5024,0.178993776,92.5
55:06.2,2,0.504,0.176548272,92.5
55:07.5,2,0.5056,0.322121173,90
55:08.8,2,0.5072,0.100503825,97.5
55:10.1,2,0.5088,0.165409178,92.5
55:11.4,2,0.5104,0.25436151,92.5
55:12.7,2,0.512,0.248798564,92.5
55:14.0,2,0.5136,0.221566036,92.5
55:15.3,2,0.5152,0.068102434,100
55:16.6,2,0.5168,0.353505313,87.5
55:17.9,2,0.5184,0.315197945,90
55:19.2,2,0.52,0.072822109,97.5
55:20.5,2,0.5216,0.291703165,92.5
55:21.8,2,0.5232,0.351619869,90
55:23.1,2,0.5248,0.27750048,90
55:24.5,2,0.5264,0.116204917,95
55:25.8,2,0.528,0.165390506,95
55:27.1,2,0.5296,0.18646042,92.5
55:28.4,2,0.5312,0.07600347,100
55:29.7,2,0.5328,0.269359499,85
55:31.0,2,0.5344,0.087302916,97.5
55:32.3,2,0.536,0.385147512,82.5
55:33.6,2,0.5376,0.043625422,100
55:34.9,2,0.5392,0.22618103,92.5
55:36.2,2,0.5408,0.068717286,100
55:37.5,2,0.5424,0.078995988,97.5
55:38.8,2,0.544,0.296801299,85
55:40.1,2,0.5456,0.177721441,92.5
55:41.4,2,0.5472,0.140615523,95
55:42.7,2,0.5488,0.082702115,97.5
55:44.0,2,0.5504,0.224855348,92.5
55:45.3,2,0.552,0.170531258,95
55:46.6,2,0.5536,0.234909013,92.5
55:47.9,2,0.5552,0.318915218,92.5
55:49.3,2,0.5568,0.235619217,95
55:50.6,2,0.5584,0.087928124,97.5
55:51.9,2,0.56,0.112593912,95
55:53.2,2,0.5616,0.265791118,85
55:54.5,2,0.5632,0.246050805,92.5
55:55.8,2,0.5648,0.259165943,92.5
55:57.1,2,0.5664,0.291998923,87.5
55:58.4,2,0.568,0.15230526,95
55:59.7,2,0.5696,0.372549653,85
56:01.0,2,0.5712,0.17693615,92.5
56:02.3,2,0.5728,0.162797377,95
56:03.6,2,0.5744,0.281527013,95
56:04.9,2,0.576,0.164837882,95
56:06.2,2,0.5776,0.118662655,95
56:07.5,2,0.5792,0.112081811,100
56:08.8,2,0.5808,0.105590977,97.5
56:10.1,2,0.5824,0.321893632,90
56:11.4,2,0.584,0.044555023,100
56:12.7,2,0.5856,0.10160742,97.5
56:14.0,2,0.5872,0.267705381,85
56:15.3,2,0.5888,0.139571577,95
56:16.7,2,0.5904,0.0987207,97.5
56:18.0,2,0.592,0.17159,92.5
56:19.3,2,0.5936,0.059612203,100
56:20.6,2,0.5952,0.237942338,92.5
56:21.9,2,0.5968,0.24522984,85
56:23.2,2,0.5984,0.268985689,95
56:24.5,2,0.6,0.178132251,90
56:25.8,2,0.6016,0.146547183,92.5
56:27.1,2,0.6032,0.250337481,85
56:28.4,2,0.6048,0.066172041,97.5
56:29.7,2,0.6064,0.355030179,85
56:31.0,2,0.608,0.253800422,90
56:32.3,2,0.6096,0.169747189,95
56:33.6,2,0.6112,0.179335326,92.5
56:34.9,2,0.6128,0.164677233,95
56:36.2,2,0.6144,0.268606335,90
56:37.5,2,0.616,0.186081141,95
56:38.8,2,0.6176,0.188284203,92.5
56:40.1,2,0.6192,0.358493567,85
56:41.4,2,0.6208,0.233631894,87.5
56:42.7,2,0.6224,0.100899756,95
56:44.0,2,0.624,0.137993351,92.5
56:45.3,2,0.6256,0.279155016,95
56:46.6,2,0.6272,0.3614887,92.5
56:48.0,2,0.6288,0.083886236,97.5
56:49.3,2,0.6304,0.09386687,97.5
56:50.6,2,0.632,0.219767004,92.5
56:51.9,2,0.6336,0.303604037,85
56:53.2,2,0.6352,0.274288952,85
56:54.5,2,0.6368,0.149566993,95
56:55.8,2,0.6384,0.292526841,92.5
56:57.1,2,0.64,0.366930485,87.5
56:58.4,2,0.6416,0.182307675,95
56:59.7,2,0.6432,0.241677329,85
57:01.0,2,0.6448,0.172106922,97.5
57:02.3,2,0.6464,0.322710574,87.5
57:03.6,2,0.648,0.219819754,92.5
57:04.9,2,0.6496,0.20662418,92.5
57:06.2,2,0.6512,0.128263548,97.5
57:07.5,2,0.6528,0.050258495,100
57:08.8,2,0.6544,0.075260177,97.5
57:10.1,2,0.656,0.099032223,97.5
57:11.4,2,0.6576,0.02522013,100
57:12.7,2,0.6592,0.233170778,92.5
57:14.0,2,0.6608,0.132458389,97.5
57:15.3,2,0.6624,0.281354517,97.5
57:16.6,2,0.664,0.256736815,90
57:17.9,2,0.6656,0.071289249,100
57:19.2,2,0.6672,0.460259438,85
57:20.5,2,0.6688,0.090180621,95
57:21.8,2,0.6704,0.247096613,92.5
57:23.1,2,0.672,0.351112068,87.5
57:24.4,2,0.6736,0.21026656,90
57:25.7,2,0.6752,0.251361817,92.5
57:27.0,2,0.6768,0.274428666,90
57:28.3,2,0.6784,0.064314082,100
57:29.6,2,0.68,0.270773172,92.5
57:30.9,2,0.6816,0.370906204,85
57:32.2,2,0.6832,0.114479765,97.5
57:33.5,2,0.6848,0.277121007,90
57:34.8,2,0.6864,0.052926887,100
57:36.1,2,0.688,0.114726938,95
57:37.4,2,0.6896,0.231056362,90
57:38.7,2,0.6912,0.183302194,92.5
57:40.0,2,0.6928,0.145155817,95
57:41.3,2,0.6944,0.151688501,95
57:42.6,2,0.696,0.251849711,92.5
57:43.9,2,0.6976,0.261602998,87.5
57:45.3,2,0.6992,0.215726256,95
57:46.6,2,0.7008,0.249356031,87.5
57:47.9,2,0.7024,0.164079159,92.5
57:49.2,2,0.704,0.118135706,92.5
57:50.5,2,0.7056,0.322808295,87.5
57:51.8,2,0.7072,0.065723367,97.5
57:53.1,2,0.7088,0.295253962,87.5
57:54.4,2,0.7104,0.114141345,95
57:55.7,2,0.712,0.037713189,100
57:57.0,2,0.7136,0.119059883,95
57:58.3,2,0.7152,0.066353172,100
57:59.6,2,0.7168,0.303040802,92.5
58:00.9,2,0.7184,0.17975308,95
58:02.2,2,0.72,0.168420613,97.5
58:03.5,2,0.7216,0.154638857,95
58:04.8,2,0.7232,0.136133492,95
58:06.1,2,0.7248,0.259216458,92.5
58:07.4,2,0.7264,0.167724699,92.5
58:08.7,2,0.728,0.372922748,90
58:10.0,2,0.7296,0.520562708,82.5
58:11.3,2,0.7312,0.189493001,92.5
58:12.6,2,0.7328,0.099712633,95
58:13.9,2,0.7344,0.329968512,90
58:15.3,2,0.736,0.157548755,97.5
58:16.6,2,0.7376,0.138172358,92.5
58:17.9,2,0.7392,0.294819534,90
58:19.2,2,0.7408,0.155007824,95
58:20.5,2,0.7424,0.219867662,90
58:21.8,2,0.744,0.238378003,92.5
58:23.1,2,0.7456,0.242042929,92.5
58:24.4,2,0.7472,0.160906792,95
58:25.7,2,0.7488,0.087449893,97.5
58:27.0,2,0.7504,0.049533583,100
58:28.3,2,0.752,0.275361359,92.5
58:29.6,2,0.7536,0.204639345,90
58:30.9,2,0.7552,0.120598793,95
58:32.2,2,0.7568,0.275093734,87.5
58:33.5,2,0.7584,0.107347831,97.5
58:34.8,2,0.76,0.366772652,90
58:36.1,2,0.7616,0.293536395,90
58:37.4,2,0.7632,0.186814681,92.5
58:38.7,2,0.7648,0.307772011,87.5
58:40.0,2,0.7664,0.24011144,90
58:41.3,2,0.768,0.271139681,90
58:42.6,2,0.7696,0.194970205,92.5
58:43.9,2,0.7712,0.088521354,95
58:45.2,2,0.7728,0.072483435,100
58:46.5,2,0.7744,0.194838986,90
58:47.8,2,0.776,0.189372152,92.5
58:49.1,2,0.7776,0.154552773,95
58:50.4,2,0.7792,0.309372872,92.5
58:51.8,2,0.7808,0.408799589,82.5
58:53.1,2,0.7824,0.150918663,95
58:54.4,2,0.784,0.264682353,85
58:55.7,2,0.7856,0.159139067,97.5
58:57.0,2,0.7872,0.277169704,87.5
58:58.3,2,0.7888,0.133863732,95
58:59.6,2,0.7904,0.25647676,90
59:00.9,2,0.792,0.341966897,90
59:02.2,2,0.7936,0.299773514,92.5
59:03.5,2,0.7952,0.088158682,97.5
59:04.8,2,0.7968,0.423179477,82.5
59:06.1,2,0.7984,0.351197392,90
59:07.4,2,0.8,0.477440447,85
59:08.7,2,0.8016,0.126169801,97.5
59:10.0,2,0.8032,0.209978536,90
59:11.3,2,0.8048,0.176632375,90
59:12.6,2,0.8064,0.189413458,92.5
59:13.9,2,0.808,0.419249624,85
59:15.2,2,0.8096,0.150203556,95
59:16.5,2,0.8112,0.182396963,92.5
59:17.8,2,0.8128,0.236774594,92.5
59:19.1,2,0.8144,0.243921801,92.5
59:20.4,2,0.816,0.093488798,95
59:21.7,2,0.8176,0.136191934,95
59:23.0,2,0.8192,0.135826945,95
59:24.3,2,0.8208,0.174945176,95
59:25.6,2,0.8224,0.303751111,90
59:26.9,2,0.824,0.239657357,90
59:28.3,2,0.8256,0.214137793,92.5
59:29.6,2,0.8272,0.136349618,90
59:30.9,2,0.8288,0.109909311,97.5
59:32.2,2,0.8304,0.044045765,100
59:33.5,2,0.832,0.024252411,100
59:34.8,2,0.8336,0.188521713,92.5
59:36.1,2,0.8352,0.163273543,95
59:37.4,2,0.8368,0.082265362,100
59:38.7,2,0.8384,0.086728565,97.5
59:40.0,2,0.84,0.357445091,90
59:41.3,2,0.8416,0.148100615,92.5
59:42.6,2,0.8432,0.070755675,100
59:43.9,2,0.8448,0.155225605,92.5
59:45.2,2,0.8464,0.275235683,90
59:46.5,2,0.848,0.275826663,92.5
59:47.8,2,0.8496,0.29382205,90
59:49.1,2,0.8512,0.125544474,92.5
59:50.4,2,0.8528,0.084214948,97.5
59:51.7,2,0.8544,0.224011227,95
59:53.0,2,0.856,0.292204261,95
59:54.3,2,0.8576,0.181065306,90
59:55.6,2,0.8592,0.200063154,90
59:56.9,2,0.8608,0.413743258,90
59:58.2,2,0.8624,0.233737111,87.5
59:59.5,2,0.864,0.122221768,95
00:00.8,2,0.8656,0.333762407,90
00:02.1,2,0.8672,0.504748464,85
00:03.4,2,0.8688,0.124023996,97.5
00:04.8,2,0.8704,0.202602118,90
00:06.1,2,0.872,0.10514909,97.5
00:07.4,2,0.8736,0.275426835,90
00:08.7,2,0.8752,0.101242736,95
00:10.0,2,0.8768,0.22131297,95
00:11.3,2,0.8784,0.233687639,92.5
00:12.6,2,0.88,0.143284172,95
00:13.9,2,0.8816,0.315848589,90
00:15.2,2,0.8832,0.247824639,90
00:16.5,2,0.8848,0.460762084,90
00:17.8,2,0.8864,0.253130853,95
00:19.1,2,0.888,0.200456545,92.5
00:20.4,2,0.8896,0.159672469,95
00:21.7,2,0.8912,0.072009906,97.5
00:23.0,2,0.8928,0.234620407,95
00:24.3,2,0.8944,0.197067097,92.5
00:25.6,2,0.896,0.175998837,95
00:26.9,2,0.8976,0.107751653,95
00:28.2,2,0.8992,0.164776132,95
00:29.5,2,0.9008,0.23013325,92.5
00:30.8,2,0.9024,0.257998586,87.5
00:32.1,2,0.904,0.433754981,87.5
00:33.4,2,0.9056,0.054717876,97.5
00:34.7,2,0.9072,0.19087927,97.5
00:36.0,2,0.9088,0.141492277,95
00:37.3,2,0.9104,0.174318939,95
00:38.6,2,0.912,0.219151691,92.5
00:39.9,2,0.9136,0.476393938,80
00:41.3,2,0.9152,0.184439644,95
00:42.6,2,0.9168,0.156266704,95
00:43.9,2,0.9184,0.441972584,82.5
00:45.2,2,0.92,0.166363865,92.5
00:46.5,2,0.9216,0.344893962,87.5
00:47.8,2,0.9232,0.139138505,97.5
00:49.1,2,0.9248,0.207456157,90
00:50.4,2,0.9264,0.166347891,95
00:51.7,2,0.928,0.170703992,95
00:53.0,2,0.9296,0.137461931,97.5
00:54.3,2,0.9312,0.236647695,87.5
00:55.6,2,0.9328,0.177348822,92.5
00:56.9,2,0.9344,0.166876197,95
00:58.2,2,0.936,0.183178678,95
00:59.5,2,0.9376,0.648197174,82.5
01:00.8,2,0.9392,0.082522199,97.5
01:02.1,2,0.9408,0.081151962,100
01:03.4,2,0.9424,0.167274326,92.5
01:04.7,2,0.944,0.272650927,90
01:06.0,2,0.9456,0.473349333,82.5
01:07.3,2,0.9472,0.19731088,92.5
01:08.7,2,0.9488,0.429298699,82.5
01:10.0,2,0.9504,0.300560176,90
01:11.3,2,0.952,0.2186656,92.5
01:12.6,2,0.9536,0.071019508,97.5
01:13.9,2,0.9552,0.313604891,90
01:15.2,2,0.9568,0.176706776,90
01:16.5,2,0.9584,0.529883862,85
01:17.8,2,0.96,0.068645909,97.5
01:19.1,2,0.9616,0.382586777,90
01:20.4,2,0.9632,0.1701065,95
01:21.7,2,0.9648,0.21100077,95
01:23.0,2,0.9664,0.257577002,87.5
01:24.3,2,0.968,0.191877976,92.5
01:25.6,2,0.9696,0.184722364,97.5
01:26.9,2,0.9712,0.253994703,92.5
01:28.2,2,0.9728,0.292815953,90
01:29.5,2,0.9744,0.205693096,92.5
01:30.8,2,0.976,0.240955919,90
01:32.1,2,0.9776,0.137223765,97.5
01:33.4,2,0.9792,0.157968476,95
01:34.7,2,0.9808,0.065874681,100
01:36.0,2,0.9824,0.042849053,100
01:37.3,2,0.984,0.148909897,95
01:38.6,2,0.9856,0.147660658,95
01:39.9,2,0.9872,0.163946748,95
01:41.2,2,0.9888,0.218260482,92.5
01:42.5,2,0.9904,0.185454503,92.5
01:43.8,2,0.992,0.292499036,92.5
01:45.1,2,0.9936,0.211516649,92.5
01:46.4,2,0.9952,0.146096453,92.5
01:47.7,2,0.9968,0.046284951,97.5
01:49.0,2,0.9984,0.057662446,97.5
01:50.3,2,1,0.042774208,100
01:51.7,3,0.0016,0.101145409,97.5
01:53.0,3,0.0032,0.141759396,90
01:54.3,3,0.0048,0.358127594,87.5
01:55.6,3,0.0064,0.121688649,97.5
01:56.9,3,0.008,0.042738952,97.5
01:58.2,3,0.0096,0.021906676,100
01:59.5,3,0.0112,0.117946349,97.5
02:00.8,3,0.0128,0.179602414,87.5
02:02.1,3,0.0144,0.113302849,92.5
02:03.4,3,0.016,0.066277415,97.5
02:04.7,3,0.0176,0.029066395,100
02:06.0,3,0.0192,0.056563027,100
02:07.3,3,0.0208,0.227103353,90
02:08.6,3,0.0224,0.302647531,90
02:09.9,3,0.024,0.146641582,95
02:11.2,3,0.0256,0.052746553,97.5
02:12.5,3,0.0272,0.137131199,97.5
02:13.8,3,0.0288,0.103556313,95
02:15.1,3,0.0304,0.145025671,90
02:16.4,3,0.032,0.062517658,97.5
02:17.8,3,0.0336,0.207599834,95
02:19.1,3,0.0352,0.090782247,95
02:20.4,3,0.0368,0.067374952,95
02:21.7,3,0.0384,0.273842633,90
02:23.0,3,0.04,0.099824198,97.5
02:24.3,3,0.0416,0.166013449,92.5
02:25.6,3,0.0432,0.126013428,95
02:26.9,3,0.0448,0.057358224,97.5
02:28.2,3,0.0464,0.071928188,97.5
