Time ,epoch,stage,train loss,accuracy
37:51.5,1,0.2336,0.488803208,77.5
37:52.8,1,0.2352,0.542056382,75
37:54.1,1,0.2368,0.526423395,85
37:55.4,1,0.2384,0.531824231,80
37:56.6,1,0.24,0.377210677,87.5
37:57.9,1,0.2416,0.778518498,77.5
37:59.2,1,0.2432,0.567070425,77.5
38:00.5,1,0.2448,0.42279759,82.5
38:01.8,1,0.2464,0.359133869,87.5
38:03.1,1,0.248,0.447534382,85
38:04.3,1,0.2496,0.257304788,92.5
38:05.6,1,0.2512,0.430551201,90
38:06.9,1,0.2528,0.33487457,85
38:08.2,1,0.2544,0.380716145,85
38:09.5,1,0.256,0.904343307,72.5
38:10.8,1,0.2576,0.530958354,82.5
38:12.1,1,0.2592,0.450090468,80
38:13.3,1,0.2608,0.543157041,82.5
38:14.6,1,0.2624,0.568360567,75
38:15.9,1,0.264,0.146248132,97.5
38:17.2,1,0.2656,0.584726214,77.5
38:18.5,1,0.2672,0.524696052,85
38:19.8,1,0.2688,0.480061382,87.5
38:21.1,1,0.2704,0.516483903,82.5
38:22.3,1,0.272,0.324338645,92.5
38:23.6,1,0.2736,0.583914042,82.5
38:24.9,1,0.2752,0.408466876,87.5
38:26.2,1,0.2768,0.389049023,85
38:27.5,1,0.2784,0.656515896,70
38:28.8,1,0.28,0.255526006,87.5
38:30.1,1,0.2816,0.422989428,87.5
38:31.4,1,0.2832,0.305771708,90
38:32.7,1,0.2848,0.205743238,95
38:33.9,1,0.2864,0.591534495,80
38:35.2,1,0.288,0.305813491,90
38:36.5,1,0.2896,0.173473448,97.5
38:37.8,1,0.2912,0.592119575,87.5
38:39.1,1,0.2928,0.2455796,90
38:40.4,1,0.2944,0.408693701,90
38:41.7,1,0.296,0.828347981,80
38:43.0,1,0.2976,0.340319246,85
38:44.3,1,0.2992,0.405958414,85
38:45.6,1,0.3008,0.593362093,82.5
38:46.9,1,0.3024,0.470100552,85
38:48.2,1,0.304,0.254231691,90
38:49.5,1,0.3056,0.386836976,87.5
38:50.8,1,0.3072,0.501606941,77.5
38:52.0,1,0.3088,0.477647632,80
38:53.4,1,0.3104,0.439916909,90
38:54.7,1,0.312,0.496863365,85
38:56.0,1,0.3136,0.505914569,80
38:57.3,1,0.3152,0.803488553,72.5
38:58.6,1,0.3168,0.411143154,92.5
38:59.9,1,0.3184,0.402067244,87.5
39:01.2,1,0.32,0.438683689,85
39:02.5,1,0.3216,0.218386561,95
39:03.8,1,0.3232,0.809442222,77.5
39:05.1,1,0.3248,0.499907345,82.5
39:06.4,1,0.3264,0.26158011,92.5
39:07.7,1,0.328,0.20670256,95
39:09.0,1,0.3296,0.503172874,85
39:10.3,1,0.3312,0.432190597,82.5
39:11.6,1,0.3328,0.356575191,85
39:12.9,1,0.3344,0.101324737,95
39:14.2,1,0.336,0.368794382,92.5
39:15.5,1,0.3376,0.567069113,82.5
39:16.9,1,0.3392,0.322962195,92.5
39:18.2,1,0.3408,0.517078876,85
39:19.5,1,0.3424,0.285911769,92.5
39:20.8,1,0.344,0.368849605,90
39:22.1,1,0.3456,0.208085626,95
39:23.4,1,0.3472,0.497204453,82.5
39:24.7,1,0.3488,0.624150395,85
39:26.0,1,0.3504,0.465589046,82.5
39:27.4,1,0.352,0.411433518,87.5
39:28.7,1,0.3536,0.764282584,72.5
39:30.0,1,0.3552,0.633471191,77.5
39:31.3,1,0.3568,0.270536184,90
39:32.6,1,0.3584,0.411609739,82.5
39:33.9,1,0.36,0.36795187,85
